name,cell_length_a,cell_length_b,cell_length_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,number_H,number_C,number_N,number_O,number_F,number_Cl,number_V,number_Cu,number_Zn,number_Br,number_Zr,adsorption
hMOF-13210,19.077236,15.297327,19.076919,78.489658,90.112677,102.3536,7.75,6.25,0.642714,2495.9,2005.8,76,88,36,26,0,0,0,0,8,0,0,2.59589
hMOF-5023489,21.295417,19.805407,19.805399,89.982197,89.969157,90.027823,10.25,6.75,0.79629,4991.0,2698.9,22,96,8,26,26,0,0,0,8,0,0,1.6829
hMOF-5079088,23.532407,17.699083,16.176319,90.001389,89.988536,96.934153,7.75,6.25,0.751129,4015.1,2591.7,56,112,8,52,0,0,0,4,0,0,0,1.09018
hMOF-5061889,16.992694,14.519709,15.455313,92.669068,87.142206,87.174184,6.75,5.25,0.641749,2846.7,2275.8,18,78,26,16,0,0,0,4,0,0,0,2.01494
hMOF-5065855,14.519709,14.04422,12.99646,89.993022,90.000034,88.434511,3.75,2.75,0.26734,251.8,331.7,8,80,8,32,0,0,0,8,0,0,0,0.430454
hMOF-5016257,12.759401,18.050589,12.759393,89.970454,89.979062,90.029746,8.25,5.75,0.671962,3271.7,2263.6,34,60,0,13,0,0,0,0,4,0,0,1.99247
hMOF-5052228,19.18893,19.18893,18.266242,90.011475,89.977082,96.855221,17.25,16.25,0.868836,4839.7,1573.7,44,54,14,18,0,0,0,0,2,0,0,0.622669
hMOF-5073591,15.944499,15.944551,14.421503,90.00334,89.989779,83.488174,13.25,11.75,0.799323,5931.7,2481.3,18,38,2,18,0,0,0,2,0,0,0,0.404302
hMOF-5012783,16.959455,18.101397,18.101398,90.020807,90.009167,90.017413,8.25,5.25,0.678705,3175.1,2342.3,88,92,24,26,0,0,0,0,8,0,0,2.23817
hMOF-5053506,15.944557,18.266242,15.944551,90.006078,96.499947,89.992907,6.25,3.75,0.655159,2897.9,2051.7,80,100,12,16,0,0,0,0,4,0,0,2.68425
hMOF-5069117,14.04422,14.04422,12.503552,86.157908,86.160109,86.811122,3.75,2.75,0.176616,55.9,104.1,16,80,8,32,0,0,0,8,0,8,0,0.584994
hMOF-907,12.759401,12.7594,12.759393,90.031564,89.981504,89.985155,9.25,7.75,0.688298,2450.7,2133.5,11,30,0,13,0,7,0,0,4,0,0,2.42386
hMOF-7002167,23.096457,18.760492,18.760487,90.032206,60.020851,59.999895,14.75,13.75,0.707984,1180.3,1590.8,24,94,4,32,0,0,0,0,0,30,6,1.56687
hMOF-5076104,9.065218,19.18893,7.540329,89.991297,89.996962,84.080333,1.75,1.25,0.000700558,0.0,0.0,48,56,12,16,0,0,0,4,0,0,0,0.0
hMOF-5038998,16.109301,14.04422,15.186229,89.995248,89.999362,88.325179,14.25,13.25,0.869429,6286.8,2034.0,8,28,2,8,2,0,0,0,2,0,0,0.392494
hMOF-5078865,9.065215,23.532407,7.540329,89.99177,89.997574,83.931687,6.25,4.25,0.660305,1622.6,1670.6,32,42,4,17,0,0,0,2,0,0,0,5.11716
hMOF-5031732,12.7594,29.839134,12.759393,90.033122,89.968436,89.989968,9.75,8.75,0.838821,3726.9,2182.6,17,62,2,17,0,11,0,0,4,0,0,1.22632
hMOF-5034234,11.792241,10.868271,16.109301,89.994353,83.827448,90.008606,4.25,2.25,0.292316,256.3,330.3,12,60,6,24,0,0,0,0,6,0,0,1.13394
hMOF-5024070,12.827892,12.827893,12.827885,90.021189,90.026888,90.01554,3.75,1.75,0.162352,22.6,48.3,18,54,0,39,0,18,0,0,12,0,0,1.12287
hMOF-5042363,14.044191,10.540539,13.101039,93.398267,86.337551,88.858634,3.75,2.25,0.126666,20.1,46.9,12,44,4,16,0,0,0,0,4,20,0,0.0903828
hMOF-26171,16.992694,14.853567,16.053802,92.572962,87.249047,87.151577,11.75,10.25,0.769463,3413.4,1903.4,68,64,6,19,0,0,0,0,2,0,0,1.31068
hMOF-24422,10.654551,9.730223,10.65455,90.000193,84.485087,89.999649,6.25,4.75,0.483856,702.4,1049.4,6,44,14,8,0,0,0,0,2,0,0,3.44002
hMOF-5012363,18.101398,18.101397,18.101389,90.021047,90.024802,90.018196,17.25,15.75,0.845695,5350.2,1944.6,36,42,0,31,0,0,0,0,4,0,0,0.654734
hMOF-5057133,27.731994,27.732048,26.809956,89.975675,89.985586,82.631595,24.75,24.75,0.947806,5245.9,1074.1,132,152,8,20,0,0,0,0,2,0,0,1.47402
hMOF-5022663,21.295418,21.295418,12.759393,90.044954,89.964936,89.953405,17.25,16.25,0.847585,4688.3,1738.6,34,40,22,13,0,0,0,0,4,0,0,0.725598
hMOF-5001239,19.077105,13.897448,19.076919,87.727045,89.923776,87.714101,14.25,13.25,0.860022,4607.8,1863.7,16,34,24,13,0,0,0,0,4,0,0,0.739734
hMOF-30728,9.065218,8.597304,7.540329,82.296522,89.996962,85.17281,6.25,5.25,0.541251,1597.6,1871.0,6,10,2,8,0,0,0,2,0,0,0,1.15091
hMOF-37499,10.723023,15.538191,9.198806,90.002301,89.999839,65.869821,6.25,3.75,0.561408,1016.1,1228.0,38,58,2,8,0,0,0,2,0,0,0,4.95526
hMOF-5036221,14.519709,9.065218,8.140239,90.002802,89.995533,95.651985,4.25,2.75,0.295808,301.4,404.4,0,24,4,16,0,0,0,0,4,0,0,0.413105
hMOF-5055430,14.519709,23.532407,13.596369,89.98936,90.000291,83.264412,8.25,6.75,0.781617,4577.1,2870.7,24,80,8,24,0,0,0,0,4,0,0,1.23619
hMOF-5076014,10.654562,19.188925,9.130313,89.999117,89.99693,83.816326,8.25,7.25,0.655458,2427.0,1949.8,42,43,6,8,0,0,0,2,0,0,0,2.3039
hMOF-5019960,19.121112,19.121063,21.395355,87.57926,92.462121,90.126867,5.25,3.25,0.510104,1343.8,1476.3,172,208,44,52,0,0,0,0,16,0,0,4.9692
hMOF-7000542,17.917603,21.606444,21.606444,119.999679,90.001004,57.010312,8.75,7.25,0.720806,2777.8,2277.5,28,82,0,32,0,20,0,0,0,0,6,1.40638
hMOF-4412,12.759401,11.169416,11.169409,89.969126,89.979897,90.010767,5.75,4.75,0.565225,1668.0,1736.6,24,34,0,19,0,0,0,0,4,0,0,3.3947
hMOF-5009640,18.215407,12.64533,18.215399,90.02303,90.019833,90.01814,5.25,3.75,0.332667,438.6,796.3,36,102,0,39,0,0,0,0,12,24,0,1.68089
hMOF-5049464,16.992694,17.038272,16.053802,92.751609,87.249047,90.88989,16.25,14.25,0.84037,4390.4,1763.1,26,40,6,25,0,0,0,0,2,0,0,0.399731
hMOF-1003614,20.875621,21.606444,21.606444,59.998659,87.030131,58.31715,13.75,12.75,0.730055,1732.3,1908.4,24,88,2,32,0,0,0,0,0,30,6,0.704803
hMOF-11829,18.215407,12.759393,18.215399,90.021556,89.982632,89.98773,7.75,6.25,0.584816,1762.9,1612.6,16,96,16,26,0,0,0,0,8,0,0,2.60572
hMOF-5028288,12.759401,25.63924,12.759393,90.044235,90.018567,90.031802,10.25,8.75,0.819297,3896.8,2158.8,50,65,2,17,0,0,0,0,4,0,0,1.39281
hMOF-11609,21.395362,12.759394,12.759387,89.96834,89.957714,90.030716,11.25,9.25,0.78324,3543.3,2193.1,28,52,0,24,0,0,0,0,4,0,0,1.51854
hMOF-34751,11.026607,10.65455,9.4829,99.426343,78.636152,96.53546,6.75,5.75,0.618724,1791.7,1761.3,28,27,2,8,0,0,0,2,0,0,0,3.64951
hMOF-5043991,14.519709,15.99535,13.596369,89.996243,90.000291,83.58626,5.25,2.25,0.380257,536.6,856.6,21,78,6,24,0,0,0,0,6,15,0,1.42475
hMOF-5066945,12.837943,10.540539,11.295483,94.138588,85.461227,89.677216,8.25,7.25,0.588031,1456.5,1665.5,13,30,2,8,0,11,0,2,0,0,0,2.31578
hMOF-7000801,14.446369,14.446369,19.377372,48.620146,89.998266,59.996355,5.25,1.75,0.140613,73.2,175.6,31,78,0,32,0,35,0,0,0,0,6,0.55731
hMOF-5001689,13.033409,13.897448,13.897441,89.969401,97.170691,82.848469,4.25,2.25,0.152941,96.8,187.9,12,72,0,52,0,4,0,0,16,0,0,0.507428
hMOF-5037617,14.519731,14.519731,11.892095,86.093342,86.097868,96.311147,6.25,5.25,0.617859,2436.2,2121.4,8,48,4,16,0,4,0,0,4,0,0,1.2078
hMOF-5082032,27.732048,12.837942,11.295483,85.469583,85.926381,91.264203,6.25,3.25,0.603317,1793.5,1639.0,56,116,8,24,0,0,0,4,0,0,0,2.93945
hMOF-5071644,16.109301,14.421503,16.109301,90.000142,96.538519,89.990199,14.25,12.75,0.84453,6331.1,2207.1,19,34,7,8,0,0,0,2,0,0,0,0.442767
hMOF-3002106,19.319731,19.31897,19.315557,60.007379,60.01469,59.991495,12.75,10.75,0.772066,4803.8,2485.8,16,26,8,40,0,0,0,8,0,0,0,0.177655
hMOF-19612,16.956995,16.992695,16.053948,92.712453,93.030629,83.361347,5.75,3.25,0.427744,867.2,971.8,42,114,24,24,30,0,0,0,6,0,0,2.79982
hMOF-5018755,16.625548,18.050589,16.625539,89.975176,89.979432,90.029289,4.25,2.75,0.31735,466.6,583.4,12,120,0,52,0,12,0,0,16,0,0,0.952033
hMOF-5057152,27.732048,27.732048,7.681481,84.300807,95.681056,82.642655,15.75,14.75,0.856946,4457.7,2349.0,62,90,6,30,0,0,0,0,2,0,0,4.55358
hMOF-7557,13.032721,10.686154,10.686551,89.69398,93.335252,79.028863,4.25,3.25,0.255576,196.5,305.0,12,28,0,26,4,0,0,0,8,0,0,2.44917
hMOF-5080999,23.532407,23.532407,22.010155,89.999577,89.996931,82.848678,6.25,3.75,0.600019,1320.1,1527.8,80,320,32,80,0,64,0,8,0,0,0,3.87554
hMOF-5052914,19.18893,14.519709,18.266242,89.992715,90.022918,96.587538,14.25,12.75,0.859139,4657.9,1875.6,70,63,10,8,0,0,0,0,2,0,0,1.14398
hMOF-5000076,13.897449,12.759399,12.759393,89.969094,89.978412,90.016396,4.75,3.75,0.370823,505.4,675.1,64,68,0,26,0,0,0,0,8,0,0,3.14962
hMOF-5054497,16.956985,22.610064,16.974813,86.349505,79.731757,89.990637,9.75,8.75,0.739342,1939.2,2129.6,30,104,16,24,0,0,0,0,4,26,0,1.31346
hMOF-5037394,14.519709,14.519709,13.596369,90.006934,90.000291,96.319855,4.25,3.75,0.332708,749.0,920.2,0,80,8,32,0,0,0,0,8,0,0,0.812725
hMOF-5032615,18.101398,29.839125,18.101395,90.013262,89.973339,89.997005,6.75,5.25,0.689769,2417.2,2249.3,48,198,6,51,72,0,0,0,12,0,0,6.13161
hMOF-5040673,14.519709,14.04422,13.596369,89.993157,90.000291,88.434511,5.75,3.75,0.438138,1422.6,1352.6,6,60,6,24,0,0,0,0,6,0,0,0.750415
hMOF-29493,17.699083,17.699083,16.176319,89.992304,89.998611,83.283015,15.75,15.25,0.862775,4944.8,1624.6,24,44,2,18,0,0,0,2,0,0,0,0.383382
hMOF-5040883,14.04422,14.04419,13.596369,89.989293,89.999747,93.190328,6.25,4.25,0.688402,4279.5,2977.9,12,42,4,18,0,0,0,0,4,0,0,0.970207
hMOF-4000224,16.793024,16.793047,33.586455,113.253857,66.21999,112.758327,8.75,5.25,0.669458,1728.2,2134.2,28,132,0,48,0,0,0,12,0,32,0,1.47198
hMOF-5003728,19.805407,16.625545,19.805399,90.025578,90.019573,90.025558,6.25,3.75,0.54019,739.1,1380.6,20,160,0,52,0,0,0,0,16,44,0,3.04396
hMOF-5004310,12.827893,16.625545,12.827885,89.967039,90.019272,89.975993,4.75,3.25,0.28097,239.7,485.4,9,60,0,39,0,0,0,0,12,15,0,1.86049
hMOF-5024376,21.295418,21.295417,21.295411,90.021644,90.043738,90.046319,7.75,6.25,0.633335,2633.9,2022.0,42,174,66,39,0,0,0,0,12,0,0,1.72933
hMOF-5001819,13.032831,13.897448,13.897441,89.969401,82.806474,82.822399,6.25,3.25,0.354294,519.9,779.6,12,54,12,39,0,0,0,0,12,0,0,2.60844
hMOF-5026875,21.395362,25.639239,21.395355,90.019334,90.04394,90.054564,10.25,7.75,0.820728,5179.1,2471.6,72,136,4,68,0,0,0,0,8,0,0,0.734022
hMOF-5021782,16.625548,19.120786,16.625539,87.528626,89.979432,92.466188,7.25,5.25,0.602662,2105.2,1991.4,18,96,0,39,0,12,0,0,12,0,0,2.63327
hMOF-5029679,18.050591,25.639239,18.050582,89.974655,89.978183,90.034692,13.75,11.75,0.824204,5596.1,2134.7,84,86,2,32,0,0,0,0,4,0,0,1.19008
hMOF-5044620,9.065218,10.489741,8.140239,89.996756,89.997198,84.77753,5.75,4.75,0.434886,889.0,1336.0,3,14,2,8,0,0,0,0,2,3,0,1.06557
hMOF-5004844,16.625548,14.908932,14.908308,90.20983,86.722035,93.300782,13.25,11.75,0.832121,3514.9,1863.5,3,32,0,13,0,9,0,0,4,0,0,0.836892
hMOF-5002808,17.077404,17.077402,17.077396,90.029784,90.023219,90.019297,6.25,4.75,0.491604,990.8,1185.4,39,126,0,39,33,0,0,0,12,0,0,5.06937
hMOF-5051741,19.188933,16.992695,16.053802,87.258926,92.571113,86.906896,15.75,14.75,0.844634,3752.0,1696.4,9,40,10,8,0,15,0,0,2,0,0,0.584329
hMOF-5009470,12.64533,12.759401,12.759393,90.022649,89.969952,89.984935,8.75,7.75,0.543367,1053.1,1730.6,9,30,0,13,0,0,0,0,4,15,0,1.30031
hMOF-6004742,6.8179,10.992421,19.453114,94.461908,101.709288,108.764763,7.75,6.75,0.528658,1029.9,1540.0,13,26,4,10,0,0,2,0,0,7,0,1.22791
hMOF-34357,10.654554,9.130313,10.654551,90.002444,84.486053,89.999506,5.75,4.75,0.302927,324.1,463.1,8,38,12,8,0,0,0,2,0,0,0,1.43498
hMOF-1002332,6.8179,9.58286,12.908943,93.753946,100.860631,111.206767,6.75,5.75,0.569988,1212.2,1444.4,14,20,0,12,0,0,2,0,0,0,0,4.02227
hMOF-17299,19.288864,10.65455,18.366186,89.994973,89.977106,83.810575,12.25,11.25,0.663618,2361.1,1544.5,62,94,2,8,0,0,0,0,2,0,0,1.47818
hMOF-14659,19.077115,16.959453,16.959455,90.01491,92.29862,87.716317,7.75,5.25,0.640732,1703.5,1522.9,112,132,4,42,0,0,0,0,8,0,0,5.90819
hMOF-27943,10.65455,9.065218,9.130313,89.997322,89.999724,84.750408,2.75,1.75,0.0219431,0.0,0.0,10,32,4,16,0,0,0,4,0,6,0,0.0
hMOF-7453,13.033855,19.077269,13.033429,99.144056,76.646658,80.844711,9.25,8.25,0.797276,4259.6,2437.7,48,42,2,13,0,0,0,0,4,0,0,1.50463
hMOF-2000468,42.784839,42.784841,42.784893,90.002418,59.99778,119.999863,24.75,22.25,0.926966,5381.4,1182.3,474,441,0,48,0,0,0,0,12,0,0,2.16388
hMOF-5057010,17.699083,26.809956,17.699092,89.993981,83.284691,90.002782,15.75,12.25,0.840162,4661.7,1730.4,92,96,4,27,0,0,0,0,2,0,0,1.17605
hMOF-5017414,12.759401,18.050589,12.759393,89.970429,89.981287,90.029746,7.25,6.25,0.644185,2675.0,2151.5,19,65,11,13,0,0,0,0,4,0,0,1.73024
hMOF-5038197,11.792254,14.519731,10.868271,89.99388,89.995741,83.943725,5.25,4.25,0.616368,2758.4,2370.9,0,32,4,16,0,0,0,0,4,0,0,0.904889
hMOF-36335,9.065215,14.853567,7.540329,89.999797,90.002426,84.324814,5.75,4.75,0.690799,2274.5,2233.5,14,25,2,8,0,0,0,2,0,0,0,5.68819
hMOF-5031768,29.839134,12.7594,29.839104,90.122233,89.924472,89.996161,22.75,21.25,0.916927,4922.1,1474.0,26,100,16,21,0,0,0,0,4,0,0,0.931345
hMOF-5033984,11.792241,9.065218,8.140239,90.001686,89.998521,84.60465,1.75,1.25,1.77e-05,0.0,0.0,0,30,6,24,0,0,0,0,6,0,0,0.0
hMOF-5023371,18.215407,21.295417,18.215399,89.968895,89.980167,90.03015,17.25,15.75,0.887735,5399.1,1617.2,52,58,4,13,0,0,0,0,4,0,0,0.971719
hMOF-5063246,11.792254,14.519709,10.268362,89.993769,89.995475,83.939371,12.75,11.75,0.824981,4772.9,2154.5,0,16,2,8,0,0,0,2,0,0,0,0.209097
hMOF-5023823,19.077236,21.295417,19.076919,92.267699,89.887323,92.322335,17.25,15.75,0.870622,5066.8,1559.5,12,56,20,13,0,0,0,0,4,0,0,0.415909
hMOF-5075953,19.188925,19.18893,17.766277,89.988508,89.989688,83.143665,18.25,17.25,0.887336,5179.9,1542.7,39,48,21,8,0,0,0,2,0,0,0,0.569572
hMOF-15340,16.959455,16.959453,16.959447,90.031064,90.020374,90.017008,13.25,11.75,0.850073,3934.2,1905.5,64,74,0,13,0,0,0,0,4,0,0,1.55739
hMOF-5010777,16.625548,12.64533,16.625539,89.973614,89.979432,90.013714,16.75,15.25,0.840264,4148.6,1777.4,6,26,0,13,6,0,0,0,4,0,0,1.86453
hMOF-5029848,25.639242,21.295417,21.295411,89.978356,90.033308,89.973967,7.25,5.25,0.637046,2097.0,1984.0,60,240,40,68,52,0,0,0,16,0,0,3.81399
hMOF-24216,10.723024,9.730223,10.723024,89.99981,95.532131,89.999921,3.75,2.25,0.100544,0.1,0.2,14,40,4,16,14,0,0,0,4,0,0,0.00862037
hMOF-5074542,11.026607,17.038272,9.4829,100.012096,78.636152,99.848786,7.25,6.25,0.674655,2494.9,2042.6,8,34,12,8,0,0,0,2,0,0,0,1.19608
hMOF-28694,16.109301,16.109301,14.586319,90.005214,89.999213,96.538519,3.75,2.75,0.292548,225.8,265.1,18,96,6,24,0,18,0,6,0,0,0,1.25487
hMOF-19869,10.65455,16.109301,15.186229,89.992751,89.997249,96.026794,9.75,9.25,0.73588,2704.1,2040.1,46,53,2,21,0,0,0,0,2,0,0,1.61642
hMOF-6002026,6.8179,10.992723,10.99241,91.830958,108.764651,108.770285,3.75,2.75,0.118433,22.5,41.0,16,20,0,10,0,8,2,0,0,0,0,2.35341
hMOF-5081679,26.210047,16.992694,16.974813,92.975366,86.349936,90.003955,9.25,7.25,0.764151,3373.6,2150.8,132,158,16,24,0,0,0,4,0,0,0,2.52566
hMOF-5038234,14.519709,10.868271,11.792241,89.994719,83.93678,90.001824,4.75,3.25,0.270102,377.8,487.1,0,48,6,24,0,0,0,0,6,0,0,0.511648
hMOF-2099,18.215405,18.215407,18.215399,89.979405,90.030551,89.975194,4.75,3.75,0.450412,1187.4,1255.3,48,144,0,64,0,0,0,0,16,0,0,2.82036
hMOF-5080285,14.04422,23.532407,12.503572,93.496478,86.16475,88.018778,7.25,4.25,0.699664,2867.0,2416.9,22,80,8,24,0,10,0,4,0,0,0,2.51676
hMOF-5000796,13.897448,13.897449,18.215399,89.979342,90.026328,89.982475,12.75,11.75,0.865576,4147.9,1954.8,1,24,0,13,0,0,0,0,4,3,0,0.491499
hMOF-5002492,16.959455,13.897447,16.959447,90.028096,90.014322,90.016477,12.75,11.75,0.857777,4593.5,2003.9,20,42,4,13,0,0,0,0,4,0,0,0.653735
hMOF-5018045,12.759401,18.050589,12.759393,89.969175,89.98262,90.028382,10.25,9.25,0.794058,4303.9,2398.3,24,41,0,13,0,0,0,0,4,0,0,1.27137
hMOF-2504,21.395362,19.805405,19.805399,89.970699,89.961981,90.042288,8.25,6.25,0.78338,5293.5,2786.6,56,104,0,52,0,0,0,0,8,0,0,0.8797
hMOF-35911,10.723024,13.33907,9.198806,89.999439,89.996352,100.048582,7.75,6.25,0.703834,2055.5,1943.0,10,30,8,8,0,0,0,2,0,0,0,2.27648
hMOF-5015513,12.594516,13.897449,13.897441,90.020733,89.973623,89.982668,12.25,11.75,0.807737,3989.5,2145.5,6,22,0,16,0,0,0,0,4,0,0,0.783994
hMOF-5049256,16.109301,16.098538,16.109298,87.272597,83.460834,92.735164,14.25,12.75,0.837047,5445.0,1959.7,18,36,2,18,0,0,0,0,2,0,0,0.341171
hMOF-9953,14.908783,14.90852,13.032268,99.985811,93.464427,96.791586,10.25,8.75,0.781852,3752.8,2253.7,9,37,7,13,0,0,0,0,4,0,0,1.33536
hMOF-5075799,19.188933,19.188928,13.448316,90.009631,89.992918,96.855309,6.75,4.75,0.648309,2336.2,2164.4,22,84,20,16,0,26,0,4,0,0,0,2.76213
hMOF-5059742,16.992694,11.792241,15.455313,92.683265,87.142206,87.430819,5.75,4.25,0.553193,1514.0,1576.3,32,60,48,16,0,0,0,4,0,0,0,2.93794
hMOF-5012303,13.033808,18.101395,13.032268,82.853748,76.702628,97.225542,8.75,7.75,0.714424,4335.5,2706.9,8,38,12,13,0,0,0,0,4,0,0,0.785062
hMOF-5019927,21.395362,19.120786,21.395355,92.459295,90.04394,92.480156,20.75,18.25,0.891008,4413.9,1420.4,19,56,0,13,0,15,0,0,4,0,0,0.614364
hMOF-1003031,6.8179,17.078472,16.015572,78.650868,104.485554,99.30602,5.75,3.25,0.559256,1103.3,1141.3,72,61,2,10,0,0,2,0,0,0,0,5.83224
hMOF-5079262,23.532361,23.532407,22.010155,90.00288,90.010098,82.839173,10.25,7.75,0.827257,2792.5,2403.4,32,160,16,40,0,0,0,4,0,40,0,0.6414
hMOF-5003824,16.625547,16.625539,19.805404,90.027676,89.969301,89.975178,8.25,6.75,0.794535,5020.7,2759.5,24,68,0,28,0,0,0,0,8,0,0,1.011
hMOF-30983,16.992694,8.559649,15.455313,92.289439,87.142206,80.223444,4.75,3.75,0.461963,648.3,977.7,18,56,12,16,0,18,0,4,0,0,0,3.59545
hMOF-5073796,19.28884,17.766277,19.288865,90.011603,96.868869,89.983415,7.75,3.75,0.528646,1619.1,1528.7,66,168,6,24,42,0,0,6,0,0,0,4.24491
hMOF-5018401,18.050591,16.959454,16.959447,90.026736,89.978541,89.983919,13.25,11.75,0.836772,4714.6,2099.7,42,60,0,23,0,0,0,0,4,0,0,1.051
hMOF-5059539,10.268362,17.699083,17.699083,83.283015,89.993826,90.001444,4.25,2.75,0.24166,199.6,255.2,96,126,6,24,0,0,0,6,0,0,0,2.34308
hMOF-1002589,6.8179,19.551823,11.102193,94.524979,108.604059,101.663376,6.75,3.75,0.543933,1525.3,1769.8,7,36,0,10,13,0,2,0,0,0,0,3.7365
hMOF-27038,15.62595,10.723024,9.798715,90.001978,108.069721,95.649731,7.75,7.25,0.72078,2411.7,2041.0,12,34,8,8,0,0,0,0,2,0,0,1.97955
hMOF-5061448,14.519709,14.519709,7.540329,89.99546,90.002655,83.680145,5.75,4.25,0.537834,1873.0,1871.1,0,32,4,16,0,0,0,4,0,0,0,1.22539
hMOF-5050902,17.019282,17.038272,16.098538,92.920305,91.140572,87.241387,6.25,4.75,0.606665,2219.3,1852.9,34,114,30,16,0,0,0,0,4,0,0,2.18299
hMOF-5022979,21.395362,21.295417,21.395355,89.978549,89.95606,90.046383,6.75,5.25,0.517683,1540.2,1526.3,128,224,16,108,0,0,0,0,16,0,0,2.2161
hMOF-5034163,9.065218,11.792241,8.140239,89.996328,89.997198,84.60465,2.25,1.25,1.69e-05,0.0,0.0,0,30,6,24,0,0,0,0,6,0,0,0.0
hMOF-5074331,16.992701,17.01937,15.455313,96.5346,87.136501,87.022613,13.75,12.25,0.821411,4770.6,1960.5,16,50,16,8,0,0,0,2,0,0,0,0.464294
hMOF-5016267,12.759401,18.050589,12.759393,90.029546,90.020938,90.029746,11.25,10.25,0.780467,4124.1,2339.6,14,30,0,23,0,0,0,0,4,0,0,0.748552
hMOF-5027383,25.639242,19.805407,19.805398,90.013121,89.982692,89.993815,7.25,5.75,0.669058,2812.0,2117.8,126,180,48,51,0,0,0,0,12,0,0,1.94297
hMOF-5003502,18.215407,18.215404,18.215399,89.970747,90.01436,89.979339,17.25,16.25,0.902195,6156.1,1640.8,20,40,0,13,0,0,0,0,4,0,0,0.58074
hMOF-5013164,18.101398,16.625546,16.625539,90.028532,89.9776,89.982266,8.25,6.25,0.763227,4902.5,3000.1,24,60,0,36,0,0,0,0,8,0,0,0.782466
hMOF-5066759,8.559649,10.540539,7.088929,83.715612,95.325015,77.152078,3.75,1.75,0.0555952,1.8,3.0,24,26,2,8,0,0,0,2,0,0,0,0.0
hMOF-5073292,14.04422,14.421503,14.04422,90.003696,86.811122,90.003446,9.75,8.75,0.756176,5103.6,2499.8,34,38,2,12,0,0,0,2,0,0,0,0.736487
hMOF-5063493,14.519709,14.519731,12.99646,89.992872,90.000034,83.684499,16.25,14.75,0.878037,5664.2,1807.3,0,20,2,8,0,0,0,2,0,0,0,0.236002
hMOF-5038541,14.971491,14.04419,14.048226,89.988942,89.991693,88.404006,5.25,4.75,0.566945,1421.2,1418.1,14,64,4,16,22,0,0,0,4,0,0,4.79201
hMOF-5038723,19.288864,14.04422,18.366186,89.993222,89.977106,88.162561,16.25,15.25,0.858736,5460.5,1855.2,26,44,2,19,0,0,0,0,2,0,0,0.437133
hMOF-3000881,27.435584,27.434948,27.431174,60.005483,60.011353,59.993028,9.25,7.75,0.756245,4748.5,2612.3,196,166,16,86,0,0,0,0,16,0,0,0.622964
